lon,lat,property_type,neighbourhood,basement_finished,has_garage,has_fireplace,building_count,walkout_basement,air_conditioning,lot_size,Assessed_value_2015,Assessed_value_2016,change
-113.4890462,53.4788121,5,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,150,2000,2000,Decrease
-113.4897425,53.48509187,5,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,21834.1,487500,509500,Increase
-113.4892807,53.4860559,5,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,155,2000,2000,Decrease
-113.5125179,53.62052044,3,BEAUMARIS,0,0,0,0,0,0,2499,8500,1000,Decrease
-113.4923543,53.42342657,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,14892.8,422500,329500,Decrease
-113.4925337,53.41661131,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,51840.6,23500,23500,Decrease
-113.4908542,53.43113708,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,297775.4,136500,103500,Decrease
-113.4918653,53.43014616,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,100711.7,46000,27000,Decrease
-113.4914723,53.42834051,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,18230.7,8000,8000,Decrease
-113.4905876,53.4280065,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,16769.2,167500,166000,Decrease
-113.4903989,53.42779452,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,71494.6,1091500,1096000,Increase
-113.491078,53.42728071,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,62804.9,0,0,Decrease
-113.490931,53.42739,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,62804.9,1023000,1026500,Increase
-113.4923017,53.42682088,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,153544.7,70500,70500,Decrease
-113.4923452,53.42410499,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,56883.7,559500,442000,Decrease
-113.4937281,53.41242751,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,830598.5,2318500,2365000,Increase
-113.4940466,53.41083358,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,37589,158500,162000,Increase
-113.4874288,53.40969708,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,568528.2,261000,261000,Decrease
-113.493163,53.408659,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,872811.9,2458500,nan,Increase
-113.4816667,53.40732513,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,3505040.1,21641000,22069000,Increase
-113.4954414,53.40661403,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,1176267.9,4069500,4147500,Increase
-113.4817145,53.40546528,3,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,164313.6,75500,75500,Decrease
-113.485495,53.40494309,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,171511.7,1449500,1478500,Increase
-113.4901451,53.40277578,6,ELLERSLIE INDUSTRIAL,0,1,0,1,0,0,179576.5,836500,1442500,Increase
-113.4907005,53.40203468,5,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,119550.4,291500,2171000,Increase
-113.4909317,53.40126277,6,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,96228.1,813500,1378000,Increase
-113.4134119,53.5410741,2,GOLD BAR,0,0,0,0,0,0,11105,500,500,Decrease
-113.4240772,53.5419495,3,FULTON PLACE,0,0,0,0,0,0,2377.1,1000,1000,Decrease
-113.4338731,53.54350143,3,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,78401.8,36000,36000,Decrease
-113.3905335,53.55636986,3,RUNDLE HEIGHTS,0,0,0,0,0,0,2544.5,0,0,Decrease
-113.3908764,53.55645697,3,RUNDLE HEIGHTS,0,0,0,0,0,0,110.5,500,500,Decrease
-113.3946052,53.55579746,6,RIVER VALLEY RUNDLE,0,0,0,0,0,0,48127.2,22000,22000,Decrease
-113.3954076,53.55539939,6,RIVER VALLEY RUNDLE,0,0,0,0,0,0,30510.2,14000,14000,Decrease
-113.3972364,53.55612526,6,RIVER VALLEY RUNDLE,0,0,0,0,0,0,349461.2,160500,160500,Decrease
-113.4464658,53.5433537,6,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,9055.4,4000,4000,Decrease
-113.4469931,53.5437987,3,FOREST HEIGHTS,0,0,0,0,0,0,91.8,500,500,Decrease
-113.4793617,53.54554126,4,BOYLE STREET,0,0,0,0,0,0,3303.6,351000,388000,Increase
-113.4811694,53.54462943,4,BOYLE STREET,0,0,0,0,0,0,4050.5,387000,428000,Increase
-113.482216,53.544956,2,BOYLE STREET,0,0,0,0,0,0,3304.6,187500,188500,Increase
-113.4821736,53.54487053,2,BOYLE STREET,0,0,0,0,0,0,3303.6,187500,188500,Increase
-113.4835549,53.54475743,4,BOYLE STREET,0,0,0,0,0,0,4033,250500,277000,Increase
-113.4838983,53.54416135,4,BOYLE STREET,0,0,0,0,0,0,4031.9,385500,0,Decrease
-113.484139,53.544658,4,BOYLE STREET,0,0,0,0,0,0,4032.6,335000,nan,Increase
-113.4841394,53.54465662,4,BOYLE STREET,0,0,0,0,0,0,4032.6,385500,426000,Increase
-113.4843361,53.54408685,4,BOYLE STREET,0,0,0,0,0,0,4029.8,385000,383000,Decrease
